wave,MT2,MT3,MT7,MT8,MT11,MT12,MT13,MT14,MT19,MT20,MT21,MT24,MT25,MT15,MT16,MT17,MT18,MT28,MT29,MT32,MT34
1256,0.432551207581779,0.565005933958532,1.75096386180986,1.60358456409374,1.92459240351603,1.60052671261243,2.08802057483193,1.73280695246675,1.36533428,1.332357326,1.295785885,1.635266257,1.766007186,1.41584136,1.229205725,1.28828553,1.01384554,1.454301324,0.926973483,1.22057213,1.090921304
1255,0.431939773769489,0.562585809694459,1.75009278826853,1.6039695606943,1.92261508870953,1.59911435822829,2.08923882145919,1.72986063271687,1.365186401,1.332114939,1.293765497,1.636391232,1.762955532,1.415848914,1.2293048,1.28850876,1.015021306,1.454413218,0.9276313818,1.221967127,1.08998717
1254,0.430602262305105,0.562865054801852,1.74871421970747,1.60346988425528,1.92168035807374,1.59819048731536,2.08891395569192,1.73255259392719,1.363500584,1.334387309,1.295315226,1.635327272,1.767248379,1.412895184,1.226599296,1.290779328,1.017387091,1.451095009,0.9269704372,1.219562116,1.089863369
1253,0.433926933659431,0.561910967351593,1.75211519379493,1.60353541559154,1.92257014973666,1.60292665314488,2.08956368722646,1.7312808012294,1.366362037,1.333460182,1.295797364,1.636040392,1.764257384,1.411588291,1.227490969,1.287386232,1.014273091,1.447614749,0.9264282799,1.220232439,1.089345656
1252,0.440805564047692,0.564656877574291,1.75112292741306,1.6018234094316,1.92970645862918,1.59994265628816,2.09108875152281,1.73057071697313,1.365245553,1.332878456,1.292462577,1.634831521,1.766665111,1.411331445,1.224602558,1.287169381,1.013660268,1.448579344,0.9262942635,1.220467958,1.088647869
1251,0.441416997859982,0.56442417331813,1.75042606858,1.60129096732444,1.92266901547698,1.59498348713483,2.09192798808826,1.72729585077632,1.363419251,1.332466399,1.295033979,1.63328325,1.766380477,1.410183192,1.22589053,1.286805835,1.015569997,1.449513072,0.9269978496,1.215993097,1.088591596
1250,0.439276979516967,0.56721662439206,1.7485627286568,1.60017693460792,1.92971544642376,1.59529144410581,2.09052023643009,1.72528217900482,1.363005191,1.331442318,1.296141749,1.633492991,1.763781438,1.40982814,1.226766961,1.288234506,1.014764775,1.44718261,0.9248261746,1.21982481,1.089484463
1249,0.435226230510547,0.568240523119168,1.74925201293734,1.60148756133324,1.93287016231957,1.59855154031582,2.09137752109371,1.72865242965397,1.361836949,1.333684389,1.293857333,1.633088762,1.76364612,1.407486308,1.223390797,1.287105601,1.015434606,1.441885051,0.926480059,1.217537558,1.08821269
1248,0.432436563741975,0.567705303329998,1.74807038274214,1.60158585833763,1.92849310636156,1.59677813293122,2.09229797410098,1.72828149011711,1.365474765,1.334514561,1.292904537,1.630930335,1.763543465,1.406897073,1.222613441,1.285594015,1.013453618,1.440758404,0.9301289603,1.218968789,1.088835446
1247,0.435226230510547,0.565960021408792,1.74916869285947,1.60007863760352,1.92778307059014,1.5960666461362,2.09152190587917,1.72426474484659,1.362605918,1.3341934,1.292215768,1.636276828,1.764350707,1.407267233,1.220510007,1.284382195,1.01234911,1.440411149,0.9289898208,1.21821694,1.090253529
1246,0.435531947416692,0.565820398855095,1.75010036282107,1.60029980586342,1.92452050115943,1.59182958298378,2.09391327888824,1.7254093582746,1.366132825,1.332569413,1.291831206,1.636707751,1.760907097,1.404577904,1.220007011,1.285153933,1.012904927,1.438532117,0.9280973934,1.215445063,1.088947992
1245,0.436487312748395,0.569148069718195,1.74720688375334,1.60005406335242,1.9240980748144,1.59748961972624,2.09200920453007,1.72398918976207,1.366007128,1.335817386,1.292502755,1.633576887,1.760552471,1.404509915,1.218612343,1.286180791,1.012007069,1.438470383,0.928898446,1.214131592,1.087860045
1244,0.437939468052583,0.572638633560608,1.74820672468774,1.60181521801456,1.9316028832845,1.59871082840425,2.09216261336462,1.72284457633406,1.363707614,1.335459867,1.29020686,1.628874872,1.759605245,1.4041322,1.216745164,1.283929357,1.011109211,1.436425441,0.9302020602,1.210603336,1.086944668
1243,0.441416997859982,0.570776999511321,1.74702509449254,1.59873524521007,1.93553054951376,1.6023638352324,2.09543834318459,1.72465688092841,1.363899857,1.334114624,1.290694738,1.618833992,1.761341048,1.401903683,1.214946576,1.282723916,1.010624653,1.433821033,0.9291542955,1.212365199,1.086528247
1242,0.435035157444207,0.57333674632909,1.74662364320828,1.59813727176664,1.93291510129245,1.60494430226508,2.09389523079006,1.72169996290605,1.361230646,1.334811484,1.290315915,1.619955154,1.756688909,1.400627007,1.214634109,1.284018649,1.011565266,1.43633284,0.9302903892,1.209733728,1.08719227
1241,0.438245184958728,0.57708328485328,1.74635853386961,1.59948066416009,1.93430820945156,1.60275674585055,2.09366060551369,1.72132902336919,1.36259113,1.334981154,1.29085545,1.619737785,1.754794457,1.402107649,1.214542656,1.283068327,1.010824177,1.434361207,0.9287552921,1.211912278,1.088434031
1240,0.440805564047692,0.576710958043423,1.74565410048401,1.59760482965948,1.92746849778001,1.59107561936518,2.09526688625186,1.72296115733136,1.362539373,1.336290039,1.291446643,1.617670882,1.755284401,1.400400378,1.210130017,1.283540299,1.011379993,1.431409544,0.9301807394,1.211346127,1.08755617
1239,0.433086212167533,0.580224792311451,1.74506328538642,1.59765397816168,1.92659668170624,1.5751680489333,2.0978838604882,1.7239150018547,1.361422889,1.332466399,1.292336303,1.618429763,1.756068312,1.398753541,1.210282439,1.283132107,1.010375248,1.427643764,0.9271775535,1.209045288,1.086674557
1238,0.438474472638337,0.580736741675005,1.74491936888828,1.59939874998976,1.92227355251568,1.59563125869448,2.09790190858638,1.72079910974511,1.362354524,1.334484263,1.292330563,1.619146697,1.758951985,1.398949953,1.208217111,1.28255171,1.011422749,1.423229775,0.9279664228,1.212433138,1.086978432
1237,0.43962091103638,0.577153096130128,1.74644185394748,1.5990137533892,1.92712696158617,1.60520978241247,2.0954293191355,1.72051295638811,1.361992222,1.33349048,1.291337588,1.620862761,1.7552984,1.395784703,1.205237246,1.279911218,1.010154346,1.425313301,0.927838498,1.208764476,1.085556598
1236,0.448410272088047,0.580015358480907,1.74692662530961,1.59680207079023,1.92603045064802,1.60636727585511,2.09854261607183,1.7191351809655,1.359663132,1.332090701,1.286883552,1.618296292,1.751668144,1.394515581,1.204818083,1.279177748,1.008522525,1.422188011,0.9273603031,1.207754462,1.08493009
1235,0.442754509324366,0.58148139529472,1.74701751994001,1.59622048018087,1.93299599144362,1.60348947105735,2.09857871226819,1.71625245085051,1.358716709,1.332902694,1.286045551,1.620950471,1.75076758,1.393654391,1.203880683,1.280179094,1.007467898,1.424977622,0.9283837012,1.206508929,1.084479905
1234,0.451199938856619,0.582505294021828,1.74402557168935,1.59688398496056,1.92908630080351,1.59919931187546,2.0971980327573,1.71450373589105,1.359559617,1.331799838,1.287164799,1.624897418,1.754145863,1.392611898,1.202607953,1.281282488,1.008216113,1.424020743,0.9271927826,1.206685569,1.083335684
1233,0.453645674105778,0.585158122542061,1.74332871285629,1.59770312666388,1.9242418795276,1.59751085813803,2.0985696882191,1.71463091516083,1.35881283,1.331036322,1.288106116,1.618818738,1.750244972,1.392898961,1.200474035,1.279279796,1.008593783,1.422133994,0.9244363087,1.210725625,1.083159362
1232,0.452843167227148,0.590743024689922,1.74285151604669,1.59554878398414,1.9247811472021,1.59626841104822,2.0965122050264,1.71445074452864,1.360757435,1.332739084,1.289179447,1.620256418,1.747776585,1.390844193,1.199696679,1.278361365,1.005387148,1.417654413,0.9265562047,1.205589499,1.084674985
1231,0.452690308774075,0.591627300863333,1.74429825558055,1.59377943790496,1.93146806636588,1.59636398390128,2.09922844380273,1.71344390864289,1.36033598,1.332866336,1.288111856,1.621636896,1.75126219,1.391637394,1.195718445,1.280038778,1.007845568,1.416562491,0.9267298168,1.205680084,1.084648724
1230,0.457390706206053,0.590370697880064,1.74421493550269,1.59445113410169,1.92875375240423,1.59949664964054,2.10119568650453,1.71343331037041,1.360920101,1.330412177,1.2893459,1.618216209,1.748387849,1.389136922,1.197219809,1.281926666,1.009092593,1.412970337,0.9291603872,1.200734185,1.083527013
